,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,ATLANTA HAWKS,Shooting Stats - All Splits,Trae Young,8.8,20.8,42.2,2.2,7.1,31.4,7.8,8.7,89.1,6.5,13.7,47.8,1.324,0.48
1,ATLANTA HAWKS,Shooting Stats - All Splits,Dejounte Murray,8.1,18.1,44.7,1.9,5.5,34.4,2.3,2.7,84.0,6.2,12.7,49.2,1.123,0.50
2,ATLANTA HAWKS,Shooting Stats - All Splits,Bogdan Bogdanovic,6.1,14.1,43.1,3.1,8.1,38.0,1.2,1.4,83.3,3.0,6.0,50.0,1.163,0.54
3,ATLANTA HAWKS,Shooting Stats - All Splits,De'Andre Hunter,5.6,12.2,45.5,1.5,4.2,35.3,2.8,3.5,81.3,4.1,8.1,50.8,1.263,0.52
4,ATLANTA HAWKS,Shooting Stats - All Splits,John Collins,5.2,10.3,49.8,0.8,3.3,22.9,2.2,2.8,80.7,4.4,7.1,62.4,1.284,0.53
5,ATLANTA HAWKS,Shooting Stats - All Splits,Clint Capela,5.4,8.6,63.6,0.0,0.0,0.0,1.1,1.9,60.0,5.4,8.6,63.6,1.403,0.64
6,ATLANTA HAWKS,Shooting Stats - All Splits,AJ Griffin,3.9,8.4,46.9,1.6,4.4,36.9,0.4,0.4,87.5,2.3,4.1,57.5,1.175,0.56
7,ATLANTA HAWKS,Shooting Stats - All Splits,Onyeka Okongwu,3.7,6.1,61.9,0.0,0.1,0.0,1.6,2.2,73.6,3.7,6.0,62.7,1.508,0.62
8,ATLANTA HAWKS,Shooting Stats - All Splits,Jalen Johnson,2.0,4.4,46.4,0.4,1.6,24.6,0.7,1.1,70.0,1.6,2.8,59.0,1.187,0.51
9,ATLANTA HAWKS,Shooting Stats - All Splits,Aaron Holiday,1.8,4.1,43.2,0.7,1.6,42.9,0.6,0.7,83.3,1.1,2.6,43.5,1.162,0.51
10,ATLANTA HAWKS,Shooting Stats - All Splits,Justin Holiday,1.7,4.5,37.7,1.1,3.1,34.1,0.0,0.0,0.0,0.6,1.4,45.9,0.992,0.50
11,ATLANTA HAWKS,Shooting Stats - All Splits,Jarrett Culver,1.7,4.3,39.5,0.1,1.2,8.3,0.9,1.3,69.2,1.6,3.1,51.6,1.023,0.41
12,ATLANTA HAWKS,Shooting Stats - All Splits,Trent Forrest,1.5,3.1,47.8,0.0,0.1,0.0,0.1,0.2,66.7,1.5,2.9,50.0,1.000,0.48
13,ATLANTA HAWKS,Shooting Stats - All Splits,Frank Kaminsky,0.9,1.6,56.3,0.4,0.9,44.4,0.5,0.6,83.3,0.5,0.7,71.4,1.688,0.69
14,ATLANTA HAWKS,Shooting Stats - All Splits,Vit Krejci,0.6,1.5,38.5,0.3,1.0,29.4,0.1,0.1,50.0,0.3,0.5,55.6,1.000,0.48
15,ATLANTA HAWKS,Shooting Stats - All Splits,Tyrese Martin,0.5,1.5,37.5,0.1,0.5,20.0,0.2,0.2,100.0,0.5,1.0,45.5,0.938,0.41
